ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID	
1421745_at	0.0282165615476808	1.36792497586818e-05	9.52517219988155	3.24405906569508	1.70176300010377	Plag1	pleiomorphic adenoma gene 1	56711	4	DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription///metal ion binding///nucleic acid binding///sequence-specific DNA binding RNA polymerase II transcription factor activity///sequence-specific DNA binding transcription factor activity	gland morphogenesis///multicellular organism growth///negative regulation of gene expression///organ growth///positive regulation of gene expression///positive regulation of glial cell proliferation///positive regulation of transcription from RNA polymerase II promoter///prostate gland growth///regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///transcription from RNA polymerase II promoter///transcription, DNA-templated	nucleus	GO:0003677///GO:0000978///GO:0001077///GO:0046872///GO:0003676///GO:0000981///GO:0003700	GO:0022612///GO:0035264///GO:0010629///GO:0035265///GO:0010628///GO:0060252///GO:0045944///GO:0060736///GO:0006357///GO:0006355///GO:0006366///GO:0006351	GO:0005634	
1417244_a_at	0.030733234505197	1.62538040573982e-05	-9.30243814955374	3.12033511060495	-1.83151232800689	Irf7	interferon regulatory factor 7	54123	7	DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity///RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity///RNA polymerase II core promoter sequence-specific DNA binding///protein binding///regulatory region DNA binding///sequence-specific DNA binding transcription factor activity	immune system process///immunoglobulin mediated immune response///innate immune response///interferon-alpha production///interferon-beta production///positive regulation of interferon-alpha production///positive regulation of interferon-alpha production///positive regulation of interferon-beta production///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///positive regulation of type I interferon-mediated signaling pathway///regulation of MyD88-dependent toll-like receptor signaling pathway///regulation of MyD88-independent toll-like receptor signaling pathway///regulation of adaptive immune response///regulation of innate immune response///regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///transcription from RNA polymerase II promoter///transcription, DNA-templated///type I interferon biosynthetic process	cytoplasm///nucleus	GO:0003677///GO:0000982///GO:0000982///GO:0000979///GO:0005515///GO:0000975///GO:0003700	GO:0002376///GO:0016064///GO:0045087///GO:0032607///GO:0032608///GO:0032727///GO:0032727///GO:0032728///GO:0045944///GO:0045893///GO:0060340///GO:0034124///GO:0034127///GO:0002819///GO:0045088///GO:0006357///GO:0006355///GO:0006366///GO:0006351///GO:0045351	GO:0005737///GO:0005634	
1424921_at	0.0356626813337809	2.043256312645e-05	-9.01376283255337	2.95331393570814	-1.1968941811617	Bst2	bone marrow stromal cell antigen 2	69550	8		defense response to virus///immune system process///innate immune response///negative regulation of intracellular transport of viral material///negative regulation of intracellular transport of viral material///negative regulation of viral genome replication///regulation of actin cytoskeleton organization///response to interferon-alpha///response to interferon-beta///response to interferon-gamma///response to virus	Golgi apparatus///anchored component of membrane///apical plasma membrane///cell surface///cell surface///cytoplasm///endosome///integral component of membrane///intracellular///membrane///plasma membrane		GO:0051607///GO:0002376///GO:0045087///GO:1901253///GO:1901253///GO:0045071///GO:0032956///GO:0035455///GO:0035456///GO:0034341///GO:0009615	GO:0005794///GO:0031225///GO:0016324///GO:0009986///GO:0009986///GO:0005737///GO:0005768///GO:0016021///GO:0005622///GO:0016020///GO:0005886	
1424775_at	0.0401120084996244	2.47495865577233e-05	-8.77777333346661	2.81092549050051	-2.40052471894817	Oas1a	2'-5' oligoadenylate synthetase 1A	246730	5 60.65 cM	2'-5'-oligoadenylate synthetase activity///2'-5'-oligoadenylate synthetase activity///double-stranded RNA binding///double-stranded RNA binding///protein binding///zinc ion binding	negative regulation of viral process	cytoplasm///nucleus	GO:0001730///GO:0001730///GO:0003725///GO:0003725///GO:0005515///GO:0008270	GO:0048525	GO:0005737///GO:0005634	
1451655_at	0.045723884993091	3.0227336928002e-05	-8.53713196362923	2.66005605083171	-2.117598002859	Slfn8	schlafen 8	276950	11	molecular_function	biological_process	intracellular	GO:0003674	GO:0008150	GO:0005622	
1450065_at	0.048562213656189	3.43686624160163e-05	-8.38549155227626	2.56192993587706	-1.14386263402422	Adcy7	adenylate cyclase 7	11513	8 43.06 cM	ATP binding///adenylate cyclase activity///adenylate cyclase activity///adenylate cyclase activity///lyase activity///metal ion binding///nucleotide binding///phosphorus-oxygen lyase activity	activation of adenylate cyclase activity///cAMP biosynthetic process///cAMP biosynthetic process///cAMP biosynthetic process///cellular response to ethanol///cyclic nucleotide biosynthetic process///intracellular signal transduction///positive regulation of cAMP biosynthetic process	integral component of membrane///membrane///plasma membrane	GO:0005524///GO:0004016///GO:0004016///GO:0004016///GO:0016829///GO:0046872///GO:0000166///GO:0016849	GO:0007190///GO:0006171///GO:0006171///GO:0006171///GO:0071361///GO:0009190///GO:0035556///GO:0030819	GO:0016021///GO:0016020///GO:0005886	
1416105_at	0.048562213656189	3.63842059125259e-05	-8.31889885746037	2.51807079299838	-1.07969447366746	Nnt	nicotinamide nucleotide transhydrogenase	18115	13 67.21 cM	NAD(P)+ transhydrogenase (AB-specific) activity///NAD(P)+ transhydrogenase activity///NADP binding///oxidoreductase activity	oxidation-reduction process///proton transport	integral component of membrane///membrane///mitochondrial inner membrane///mitochondrion	GO:0008750///GO:0008746///GO:0050661///GO:0016491	GO:0055114///GO:0015992	GO:0016021///GO:0016020///GO:0005743///GO:0005739	
1450783_at	0.0500851852423908	4.118114046843e-05	-8.17567323288237	2.4221189213721	-2.62962374013254	Ifit1	interferon-induced protein with tetratricopeptide repeats 1	15957	19	RNA binding///protein binding	cellular response to interferon-alpha///cellular response to interferon-beta///defense response to virus///immune system process///innate immune response///response to virus	cytoplasm	GO:0003723///GO:0005515	GO:0035457///GO:0035458///GO:0051607///GO:0002376///GO:0045087///GO:0009615	GO:0005737	
1436172_at	0.0500851852423908	4.25963166404448e-05	-8.13694900509635	2.39579051745536	-1.54676735756009	Gm20559	predicted gene, 20559	330256	6							
1423555_a_at	0.0500851852423908	4.41473646913978e-05	-8.09611981997925	2.36785080767701	-2.91744946562559	Ifi44	interferon-induced protein 44	99899	3	molecular_function	biological_process	cytoplasm	GO:0003674	GO:0008150	GO:0005737	
1434544_at	0.0544524462806201	5.08583475901651e-05	7.93619172916832	2.25660464389156	2.24785389905684	Bola2	bolA-like 2 (E. coli)	66162	7	molecular_function	biological_process	cellular_component	GO:0003674	GO:0008150	GO:0005575	
1452349_x_at	0.0544524462806201	5.27965543487722e-05	-7.89434958268518	2.22701742304512	-1.0658484366481	Mnda///Ifi205	myeloid cell nuclear differentiation antigen///interferon activated gene 205	381308///226695	1///1 80.83 cM	core promoter binding///double-stranded DNA binding///identical protein binding///poly(A) RNA binding///transcription factor binding///core promoter binding///double-stranded DNA binding///double-stranded DNA binding///identical protein binding///poly(A) RNA binding///transcription factor binding	biological_process///cellular response to interferon-beta///regulation of transcription, DNA-templated///transcription, DNA-templated	cytoplasm///membrane///nuclear periphery///nuclear speck///nucleolus///nucleus///cytoplasm///membrane///nucleolus///nucleus	GO:0001047///GO:0003690///GO:0042802///GO:0044822///GO:0008134///GO:0001047///GO:0003690///GO:0003690///GO:0042802///GO:0044822///GO:0008134	GO:0008150///GO:0035458///GO:0006355///GO:0006351	GO:0005737///GO:0016020///GO:0034399///GO:0016607///GO:0005730///GO:0005634///GO:0005737///GO:0016020///GO:0005730///GO:0005634	
1421661_at	0.0603399227981344	6.21537198138788e-05	-7.71386763453571	2.09705419586376	-0.921326096570164	Fpr3	formyl peptide receptor 3	14294	17	G-protein coupled receptor activity///receptor activity///signal transducer activity	G-protein coupled receptor signaling pathway///chemotaxis///signal transduction	integral component of membrane///membrane///plasma membrane	GO:0004930///GO:0004872///GO:0004871	GO:0007186///GO:0006935///GO:0007165	GO:0016021///GO:0016020///GO:0005886	
1439461_x_at	0.0603399227981344	6.67736342007475e-05	-7.63560353365068	2.0394942998193	-1.18680086211981	Nsmce4a	non-SMC element 4 homolog A (S. cerevisiae)	67872	7	molecular_function	positive regulation of response to DNA damage stimulus	Smc5-Smc6 complex///nucleus	GO:0003674	GO:2001022	GO:0030915///GO:0005634	
1451426_at	0.0603399227981344	6.73558115872911e-05	-7.62617030930806	2.03250666516302	-1.85074094925731	Dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58	80861	11 63.52 cM	ATP binding///DNA binding///RNA binding///double-stranded RNA binding///double-stranded RNA binding///helicase activity///hydrolase activity///hydrolase activity, acting on acid anhydrides///metal ion binding///nucleotide binding///single-stranded RNA binding///zinc ion binding	defense response to virus///immune system process///innate immune response///negative regulation of MDA-5 signaling pathway///negative regulation of RIG-I signaling pathway///negative regulation of RIG-I signaling pathway///negative regulation of innate immune response///negative regulation of innate immune response///negative regulation of type I interferon production///negative regulation of type I interferon production///positive regulation of MDA-5 signaling pathway///positive regulation of RIG-I signaling pathway///positive regulation of type I interferon production///regulation of innate immune response///response to virus	cytoplasm	GO:0005524///GO:0003677///GO:0003723///GO:0003725///GO:0003725///GO:0004386///GO:0016787///GO:0016817///GO:0046872///GO:0000166///GO:0003727///GO:0008270	GO:0051607///GO:0002376///GO:0045087///GO:0039534///GO:0039536///GO:0039536///GO:0045824///GO:0045824///GO:0032480///GO:0032480///GO:1900245///GO:1900246///GO:0032481///GO:0045088///GO:0009615	GO:0005737	
1417977_at	0.0603399227981344	6.91422649956587e-05	-7.59778018581982	2.01141155057781	-0.971541461810066	Eif4e3	eukaryotic translation initiation factor 4E member 3	66892	6	RNA binding///molecular_function///translation initiation factor activity	biological_process///regulation of translation///translation///translational initiation	cellular_component///cytoplasm	GO:0003723///GO:0003674///GO:0003743	GO:0008150///GO:0006417///GO:0006412///GO:0006413	GO:0005575///GO:0005737	
1436058_at	0.0621951166543851	7.85186906868042e-05	-7.46103578557966	1.9084192394477	-1.93029314749227	Rsad2	radical S-adenosyl methionine domain containing 2	58185	12 A3	4 iron, 4 sulfur cluster binding///catalytic activity///iron-sulfur cluster binding///metal ion binding///protein binding///protein self-association	CD4-positive, alpha-beta T cell activation///CD4-positive, alpha-beta T cell differentiation///defense response to virus///defense response to virus///immune system process///innate immune response///negative regulation of protein secretion///negative regulation of viral genome replication///negative regulation of viral genome replication///ossification///positive regulation of T-helper 2 cell cytokine production///positive regulation of toll-like receptor 7 signaling pathway///positive regulation of toll-like receptor 9 signaling pathway///regulation of ossification///response to virus///response to virus	endoplasmic reticulum///endoplasmic reticulum membrane///lipid particle///membrane///mitochondrial inner membrane///mitochondrial outer membrane///mitochondrion	GO:0051539///GO:0003824///GO:0051536///GO:0046872///GO:0005515///GO:0043621	GO:0035710///GO:0043367///GO:0051607///GO:0051607///GO:0002376///GO:0045087///GO:0050709///GO:0045071///GO:0045071///GO:0001503///GO:2000553///GO:0034157///GO:0034165///GO:0030278///GO:0009615///GO:0009615	GO:0005783///GO:0005789///GO:0005811///GO:0016020///GO:0005743///GO:0005741///GO:0005739	
1419481_at	0.0621951166543851	8.12063978418583e-05	-7.42516843572196	1.88102070017568	-1.08580743542639	Sell	selectin, lymphocyte	20343	1 71.37 cM	carbohydrate binding///cell adhesion molecule binding///glycolipid binding///protease binding///protein binding	cell adhesion///positive regulation of neutrophil chemotaxis///regulation of apoptotic process///response to ATP	cell surface///cell surface///external side of plasma membrane///integral component of membrane///membrane///plasma membrane	GO:0030246///GO:0050839///GO:0051861///GO:0002020///GO:0005515	GO:0007155///GO:0090023///GO:0042981///GO:0033198	GO:0009986///GO:0009986///GO:0009897///GO:0016021///GO:0016020///GO:0005886	
1425385_a_at	0.0621951166543851	8.29730407102158e-05	-7.40230396957799	1.86347060496013	-2.06228121369999	Ighm	immunoglobulin heavy constant mu	16019	12 62.1 cM	antigen binding///protein binding///transmembrane signaling receptor activity	B cell receptor signaling pathway///activation of MAPK activity///antigen processing and presentation///defense response to Gram-negative bacterium///early endosome to late endosome transport///humoral immune response mediated by circulating immunoglobulin///immunoglobulin mediated immune response///positive regulation of B cell activation///positive regulation of B cell proliferation///positive regulation of MAPK cascade///positive regulation of endocytosis///positive regulation of peptidyl-tyrosine phosphorylation	B cell receptor complex///external side of plasma membrane///extracellular region///extracellular space///immunoglobulin complex, circulating///integral component of membrane///membrane///perinuclear region of cytoplasm///plasma membrane	GO:0003823///GO:0005515///GO:0004888	GO:0050853///GO:0000187///GO:0019882///GO:0050829///GO:0045022///GO:0002455///GO:0016064///GO:0050871///GO:0030890///GO:0043410///GO:0045807///GO:0050731	GO:0019815///GO:0009897///GO:0005576///GO:0005615///GO:0042571///GO:0016021///GO:0016020///GO:0048471///GO:0005886	
1418203_at	0.0621951166543851	8.49664840933388e-05	-7.3771450649412	1.84408318557947	-3.03632875192244	Pmaip1	phorbol-12-myristate-13-acetate-induced protein 1	58801	18	protein binding	T cell homeostasis///activation of cysteine-type endopeptidase activity involved in apoptotic process///apoptotic process///cellular response to DNA damage stimulus///intrinsic apoptotic signaling pathway by p53 class mediator///intrinsic apoptotic signaling pathway in response to DNA damage///intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator///negative regulation of fibroblast proliferation///negative regulation of mitochondrial membrane potential///positive regulation of DNA damage response, signal transduction by p53 class mediator///positive regulation of apoptotic process///positive regulation of apoptotic process///positive regulation of neuron apoptotic process///positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway///regulation of apoptotic process///release of cytochrome c from mitochondria///release of cytochrome c from mitochondria///response to UV///response to X-ray	intracellular///mitochondrion///mitochondrion	GO:0005515	GO:0043029///GO:0006919///GO:0006915///GO:0006974///GO:0072332///GO:0008630///GO:0042771///GO:0048147///GO:0010917///GO:0043517///GO:0043065///GO:0043065///GO:0043525///GO:1900740///GO:0042981///GO:0001836///GO:0001836///GO:0009411///GO:0010165	GO:0005622///GO:0005739///GO:0005739	
1421009_at	0.0621951166543851	8.49734956494464e-05	-7.37705773491149	1.84401574977659	-1.66310223951167	Rsad2	radical S-adenosyl methionine domain containing 2	58185	12 A3	4 iron, 4 sulfur cluster binding///catalytic activity///iron-sulfur cluster binding///metal ion binding///protein binding///protein self-association	CD4-positive, alpha-beta T cell activation///CD4-positive, alpha-beta T cell differentiation///defense response to virus///defense response to virus///immune system process///innate immune response///negative regulation of protein secretion///negative regulation of viral genome replication///negative regulation of viral genome replication///ossification///positive regulation of T-helper 2 cell cytokine production///positive regulation of toll-like receptor 7 signaling pathway///positive regulation of toll-like receptor 9 signaling pathway///regulation of ossification///response to virus///response to virus	endoplasmic reticulum///endoplasmic reticulum membrane///lipid particle///membrane///mitochondrial inner membrane///mitochondrial outer membrane///mitochondrion	GO:0051539///GO:0003824///GO:0051536///GO:0046872///GO:0005515///GO:0043621	GO:0035710///GO:0043367///GO:0051607///GO:0051607///GO:0002376///GO:0045087///GO:0050709///GO:0045071///GO:0045071///GO:0001503///GO:2000553///GO:0034157///GO:0034165///GO:0030278///GO:0009615///GO:0009615	GO:0005783///GO:0005789///GO:0005811///GO:0016020///GO:0005743///GO:0005741///GO:0005739	
1418481_at	0.0623493271160013	8.79320611596316e-05	7.34090579718645	1.81601628678819	2.05438670916745	Pkmyt1	protein kinase, membrane associated tyrosine/threonine 1	268930	17	ATP binding///kinase activity///metal ion binding///nucleotide binding///protein kinase activity///protein serine/threonine kinase activity///transferase activity///transferase activity, transferring phosphorus-containing groups	cell cycle///negative regulation of phosphatase activity///phosphorylation///protein phosphorylation	Golgi apparatus///cytoplasm///endoplasmic reticulum///membrane///nucleus	GO:0005524///GO:0016301///GO:0046872///GO:0000166///GO:0004672///GO:0004674///GO:0016740///GO:0016772	GO:0007049///GO:0010923///GO:0016310///GO:0006468	GO:0005794///GO:0005737///GO:0005783///GO:0016020///GO:0005634	
1426817_at	0.066687692529686	9.82239792363872e-05	-7.22492373341228	1.72505967247277	-1.04769183087875	Mki67	antigen identified by monoclonal antibody Ki 67	17345	7 F3-F5	poly(A) RNA binding///protein C-terminus binding	cell proliferation///meiotic nuclear division	chromosome, centromeric region///condensed chromosome///cytoplasm///membrane///nucleolus///nucleolus///nucleus///nucleus	GO:0044822///GO:0008022	GO:0008283///GO:0007126	GO:0000775///GO:0000793///GO:0005737///GO:0016020///GO:0005730///GO:0005730///GO:0005634///GO:0005634	
1420699_at	0.066687692529686	0.000101806360817633	-7.18769074281187	1.69549145364174	-1.06917761576766	Clec7a	C-type lectin domain family 7, member a	56644	6	(1->3)-beta-D-glucan binding///(1->3)-beta-D-glucan receptor activity///carbohydrate binding///metal ion binding///opsonin binding///polysaccharide binding///protein binding///signaling pattern recognition receptor activity	cell recognition///cell surface pattern recognition receptor signaling pathway///cellular response to molecule of fungal origin///detection of yeast///immune system process///inflammatory response///innate immune response///leukocyte activation involved in immune response///pattern recognition receptor signaling pathway///phagocytosis, engulfment///phagocytosis, recognition///phagocytosis, recognition///positive regulation of phagocytosis///positive regulation of tumor necrosis factor production///response to molecule of fungal origin///response to yeast///single organismal cell-cell adhesion	external side of plasma membrane///integral component of membrane///membrane///plasma membrane	GO:0001872///GO:0001874///GO:0030246///GO:0046872///GO:0001846///GO:0030247///GO:0005515///GO:0008329	GO:0008037///GO:0002752///GO:0071226///GO:0001879///GO:0002376///GO:0006954///GO:0045087///GO:0002366///GO:0002221///GO:0006911///GO:0006910///GO:0006910///GO:0050766///GO:0032760///GO:0002238///GO:0001878///GO:0016337	GO:0009897///GO:0016021///GO:0016020///GO:0005886	
