GEO accession,mutant,gsms,platform,note,title,PMID
GSE3544,Tcf7,0011,GPL81,Tcf1 (alias Tcf7) ko vs wt in pancreatic islets,xpression profiling of pancreatic islets in Tcf1 knock out mice,http://www.ncbi.nlm.nih.gov/pubmed/16330324
GSE17654,Pthlh,000111XXXXXXXXX,GPL339,"Pthrp (alias Pthlh, Pthrp) -/- vs wt in mammary buds",Analysis of Gene Expression in PTHrP-/- Mammary Buds,http://www.ncbi.nlm.nih.gov/pubmed/19795511
GSE6527,Rab3a,XXXXXX000000111111XXXXXXXXXXXXXXXXXX,GPL339,rab3a+/+ vs rab3a-/- in cortex,Earlybird mutation and knockout of Rab3a on gene expression in the cortex and hippocampus,http://www.ncbi.nlm.nih.gov/pubmed/16734774
GSE8425,RasGrf1,000111,GPL339,rasgrf1 ko vs wt in hippocampus,Laser microdissection and microarray analysis of the hippocampus of Rasgrf1 knockout mice,http://www.ncbi.nlm.nih.gov/pubmed/17321057
GSE12628,Rbm15,111000,GPL8321,rbm15-/- vs rbm15 -/+ in embryonic mice heart,Cardiac samples from OTT1 null/null and OTT1 null/wt embryonic mice,http://www.ncbi.nlm.nih.gov/pubmed/18981216
GSE4911,Runx2,0011,GPL81,Runx2 -/- vs wt embryonic humeri,Expression data from mouse E14.5 wt and RUNX2 -/- humeri,http://www.ncbi.nlm.nih.gov/pubmed/16829211
GSE2926,Scd1,1111100000,GPL32,Scd1 ko vs wt liver,Gene Expression Profiles of Scd1 knockout mice vs wild type mice on chow diet: Liver.,http://www.ncbi.nlm.nih.gov/pubmed/12177411
GSE10587,Slc26a4,010101,GPL1261,Slc26a4 ko vs wt in vascularis,Gene expression in stria vascularis of mice lacking Slc26a4 and heterzygous controls before the onset of hearing.,
GSE13333,Srf,000111,GPL1261,Srf loxP/+ AlfpCre vs Srf loxP/loxP AlfpCre mt in liver,Srf conditional knockout in the mouse liver,http://www.ncbi.nlm.nih.gov/pubmed/19205030
GSE10285,Tgm2,10XX0X1X,GPL1261,Tgm2 ko vs wt treated without ethanol treatment in hepatocytes liver injuries,"Role of Transglutaminase 2 in Liver Injury via Crosslinking and Silencing of Transcription Factor, Sp1",http://www.ncbi.nlm.nih.gov/pubmed/19208340
GSE14891,Zc3h12a,00XX11XX,GPL1261,Zc3h12a KO vs wt stimulated with LPS for 0 and 1 hr,Expression data of LPS-stimulated macrophages from wild-type and Zc3h12a-/- mice.,http://www.ncbi.nlm.nih.gov/pubmed/19322177
GSE5324,Zfp36,1XXXX0XXXX1XXXX0XXXX1XXXX0XXXX1XXX0XXXXXXXX0XXXX,GPL1261,Zfp36 KO vs wt fibroblas cell lines without treatment of actinomycin D,TTP mRNA targets identified by global analysis of stabilized transcripts in TTP-deficient fibroblasts,http://www.ncbi.nlm.nih.gov/pubmed/17030620
GSE7069,Zfx,11110000,GPL1261,Zfx ko vs wt ,Zfx controls the self-renewal of embryonic and hematopoietic stem cells,http://www.ncbi.nlm.nih.gov/pubmed/17448993
